Produto,CAS,Descrição,DataSheet
Citrinin,518-75-2,,https://chemicals.logicwebsites.com/data-sheets/2979.pdf
"3,8-Diamino-5-methyl-6-phenylphenanthridinium bromide",518-67-2,Dimidiniumbromide;Dimidinium bromide;dimidium bromide,https://chemicals.logicwebsites.com/data-sheets/2978.pdf
Fluorescein sodium,518-47-8,"C.I. 45350;C.I. Acid Yellow 73;JAN];Acid Yellow 73~C.I. 45350;Fluorescein Sodium Salt;Uranine;Fluorescein disodium salt;Acid Yellow 73 (C.I.);disodium 2-(3-oxo-6-oxidoxanthen-9-yl)benzoate;Acid Yellow 73;Uranin;11824 yellow;12417 yellow;ful-glo;funduscein;furanium;hidacid uranine;Soap yellow;C.I. 45350 sodium salt;sodium fluoresceinate;fluorescein sodium b.p;sodium salt of hydroxy-o-carboxy-phenyl-fluorone;resorcinol phthalein sodium;Fluorescein, sodium derivative, sodium salt;Soluble fluorescein;Uranine A Extra;Uranine K;Uranine O;Uranine SS;Uranine USP XII;Uranine WSS;Uranine Yellow;Yellow no. 8;3',6'-Dihydroxy-spiro[3H-isobenzofuran-1,9'-xanthen]-3-one disodium salt;3',6'-dihydroxyspiro[isobenzofuran-1(3H),9'-(9H)xanthene]-3-one, disodium salt;3,6-Dihydroxyxanthene-9-spiro-1'-3'H-isobenzofuran-3'-one;3,6-Dihydroxyxanthene-9-spiro-1'-3'H-isobenzofuran-3'-one dipotassium salt;3,6-Dihydroxyxanthene-9-spiro-1'-3'H-isobenzofuran-3'-one disodium salt;9-(o-Carboxyphenyl)-3,6-dihydroxyxanthylium dipotassium salt;9-(o-Carboxyphenyl)-3,6-dihydroxyxanthylium disodium salt;9-o-carboxyphenyl-6-hydroxy-3-isoxanthone, disodium salt;aizen uranine;Dihydroxyspiro[isobenzofuran-1(3H),9'-(9H)xanthen]-3-one disodium salt;disodium 6-hydroxy-3-oxo-9-xanthene-o-benzoate;calcocid uranine b4315;certiqual fluoresceine;C.I. 45350 disodium salt;C.I. 766;d&c yellow no. 8;fluorescein, disodium salt;fluor-i-strip a.t.;Fluorone;disodium 2-(6-oxido-3-oxo-3H-xanthen-9-yl)benzoate;disodium 3-oxo-3H-spiro[2-benzofuran-1,9'-xanthene]-3',6'-diolate;spiro[isobenzofuran-1(3H),9'-[9H]xanthen]-3-one, 3',6'-dihydroxy-, sodium salt (1:1);spiro[isobenzofuran-1(3H),9'-[9H]xanthen]-3-one, 3',6'-dihydroxy-, sodium salt (1:2);Fluoresdein disocium salt",https://chemicals.logicwebsites.com/data-sheets/2976.pdf
"(S,S)-(+)-tetrandrine",518-34-3,"(+)-Tetrandrine;Berbaman, 6,6',7,12-tetramethoxy-2,2'-dimethyl-, (1beta)-;D-Tetrandrine;Tetrandrin;6,6',7,12-Tetramethoxy-2,2'-dimethyl-1-beta-berbaman;Tetrandrine;(1beta)-6,6',7,12-tetramethoxy-2,2'-dimethylberbaman;(1beta,1'xi)-6,6',7,12-tetramethoxy-2,2'-dimethylberbaman",https://chemicals.logicwebsites.com/data-sheets/2975.pdf
Podophyllotoxin,518-28-5;4354-76-1,"1,3,3a,4,9,9a-hexahydro-9-hydroxy-6,7-(methylenedioxy)-4-(3',4',5'-trimethoxyphenyl)benz[f]isobenzofuran-3-one;Podofilox;9-hydroxy-5-(3,4,5-trimethoxyphenyl)-5,8,8a,9-tetrahydrofuro[3',4':6,7]naphtho[2,3-d][1,3]dioxol-6(5aH)-one;(5R,5aR,8aR,9R)-9-hydroxy-5-(3,4,5-trimethoxyphenyl)-5,8,8a,9-tetrahydrofuro[3',4':6,7]naphtho[2,3-d][1,3]dioxol-6(5aH)-one;(5R,5aS,8aR,9R)-9-hydroxy-5-(3,4,5-trimethoxyphenyl)-5,8,8a,9-tetrahydrofuro[3',4':6,7]naphtho[2,3-d][1,3]dioxol-6(5aH)-one;(5R,5aR,8aR,9R)-5,8,8a,9-Tetrahydro-9-hydroxy-5-(3,4,5-trimethoxyphenyl)-furo(3',4':6,7)naphtho[2,3-d]-1,3-dioxol-6(5aH)-one",https://chemicals.logicwebsites.com/data-sheets/2974.pdf
Evodiamine,518-17-2,"(+)-Evodiamine;Evodiamine, (+)-;d-Evodiamine; Indol(2',3':3,4)pyrido(2,1-b)quinazolin-5(7H)-one, 8,13,13b,14-tetrahydro-14-methyl-, (13bS)-;Indol(2',3':3,4)pyrido(2,1-b)quinazolin-5(7H)-one, 8,13,13b,14-tetrahydro-14-methyl-, (S)-;14-methyl-8,13,13b,14-tetrahydroindolo[2',3':3,4]pyrido[2,1-b]quinazolin-5(7H)-one;(13bS)-14-methyl-8,13,13b,14-tetrahydroindolo[2',3':3,4]pyrido[2,1-b]quinazolin-5(7H)-one;Evodiaminel",https://chemicals.logicwebsites.com/data-sheets/2973.pdf
Shikonin,517-89-5,"1,4-naphthalenedione, 5,8-dihydroxy-2-(1-hydroxy-4-methyl-3-penten-1-yl)-;5,8-Dihydroxy-2-(1-hydroxy-4-methylpent-3-en-1-yl)-1,4-naphthoquinone;5,8-dihydroxy-2-(1-hydroxy-4-methylpent-3-en-1-yl)naphthalene-1,4-dione;5,8-dihydroxy-2-[(1R)-1-hydroxy-4-methylpent-3-en-1-yl]naphthalene-1,4-dione;5,8-Dihydroxy-2-[(1R)-1-Hydroxy-4-Methyl-Pent-3-Enyl]Naphthalene-1,4-Dione",https://chemicals.logicwebsites.com/data-sheets/2971.pdf
"(S)-5,8-dihydroxy-2-(1-hydroxy-4-methylpent-3-enyl)-1,4-naphthoquinone",517-88-4,"(-)-5,8-Dihydroxy-2-(1-hydroxy-4-methyl-3-pentenyl)-1,4-naphthoquinone;(1-Hydroxy-3-isohexenyl)naphthazarine;(S)-5,8-Dihydroxy-2-(1-hydroxy-4-methyl-3-pentenyl)-1,4-naphthalenedione;1,4-naphthalenedione, 5,8-dihydroxy-2-[(1S)-1-hydroxy-4-methyl-3-penten-1-yl]-;5,8-Dihydroxy-2-[(1S)-1-hydroxy-4-methyl-3-penten-1-yl]-1,4-naphthoquinone;5,8-Dihydroxy-2-[(1S)-1-hydroxy-4-methylpent-3-en-1-yl]-1,4-naphthoquinone;Alkanna red (VAN);5,8-dihydroxy-2-[(1S)-1-hydroxy-4-methylpent-3-en-1-yl]naphthalene-1,4-dione",https://chemicals.logicwebsites.com/data-sheets/2970.pdf
mellitic acid,517-60-2,"Melliticacid;Benzenehexacarboxylic acid;benzene-1,2,3,4,5,6-hexacarboxylic acid",https://chemicals.logicwebsites.com/data-sheets/2969.pdf
Rubrene,517-51-1,"5,6,11,12-Tetraphenylnaphthacene;5,6,11,12-tetraphenyltetracene;LT-E707",https://chemicals.logicwebsites.com/data-sheets/2967.pdf
"5,5'-bis(β-C-glucopyranosyloxy)-9,9',10,10'-tetrahydro-4,4'-dihydroxy-10,10'-dioxo[9,9'-bianthracene]-2,2'-dicarboxylic acid",517-43-1,"Sennoside A&B;Sennaglucosides;Sennoside;(9,9'-Bianthracene)-2,2'-dicarboxylic acid, 5,5'-bis(beta-D-glucopyranosyloxy)-9,9',10,10'-tetrahydro-4,4'-dihydroxy-10,10'-dioxo-;5,5'-Bis(beta-D-glucopyranosyloxy)-4,4'-dihydroxy(9,9'-bianthrachinon)-2,2'-dicarbonsaeure;5,5'-Bis(beta-D-glucopyranosyloxy)-9,9',10,10'-tetrahydro-4,4'-dihydroxy-10,10'-dioxo(9,9'-bianthracene)-2,2'-dicarboxylic acid;5,5'-bis(hexopyranosyloxy)-4,4'-dihydroxy-10,10'-dioxo-9,9',10,10'-tetrahydro-9,9'-bianthracene-2,2'-dicarboxylic acid;5,5'-bis(beta-D-glucopyranosyloxy)-4,4'-dihydroxy-10,10'-dioxo-9,9',10,10'-tetrahydro-9,9'-bianthracene-2,2'-dicarboxylic acid",https://chemicals.logicwebsites.com/data-sheets/2966.pdf
Hematoxylin,517-28-2,"(6aR,11bS)-7,11b-Dihydroindeno[2,1-c]chromene-3,4,6a,9,10(6H)-pentol;517-28-2;benz[b]indeno[1,2-d]pyran-3,4,6a,9,10(6H)-pentol, 7,11b-dihydro-, (6aR,11bS)-;cis-(+)-7,11b-dihydrobenz[b]indeno[1,2-d]pyran-3,4,6a,9,10(6H)-pentol;hematoxiline;Hematoxylin (C.I. 75290);hydroxybrasilin;hydroxybrazilin;(6aS,11bS)-7,11b-dihydroindeno[2,1-c]chromene-3,4,6a,9,10(6H)-pentol",https://chemicals.logicwebsites.com/data-sheets/2965.pdf
2-Acetylbutyrolactone,517-23-7,"3-Acetyl-dihydro-2(3H)-furanone;ABL;3-Acetyl-4,5-dihydro-2(3H)-furanone;alpha-Acetyl-gamma-butyrolactone;2-Acetyl-Sulfo-gamma-butyrolactone;3-acetyldihydrofuran-2(3H)-one;(3R)-3-acetyldihydrofuran-2(3H)-one;(3S)-3-acetyldihydrofuran-2(3H)-one;α-Acetyl-γ-butyrrolactone;3-Acetyl-dihydro-furan-2-one",https://chemicals.logicwebsites.com/data-sheets/2964.pdf
"2,4-Dimethyl-3-ethylpyrrole",517-22-6,"Mauve factor;Kryptopyrrole;3-Ethyl-2,4-dimethylpyrrole;2,4-Dimethyl-3-ethyl-1H-pyrrole;3-ethyl-2,4-dimethyl-1H-pyrrole",https://chemicals.logicwebsites.com/data-sheets/2963.pdf
"Glyoxal sodium bisulfite addition compound, hydrate",517-21-5,"Glyoxal sodium bisulfite addition compound;Glyoxal bis(sodium hydrogen sulfite) adduct;Disodium 1,2-dihydroxy-1,2-ethanedisulfonate, hydrate;glyoxal di(sodium bisulphite);Glyoxalbisulfite monohydrate;disodium 1,2-disulfoethane-1,2-diolate;1,2-dihydroxyethane-1,2-disulfonic acid;disodium 1,2-dihydroxyethane-1,2-disulfonate;Glyoxal sodium bisulfite;Sodium 1,2-dihydroxyethane-1,2-disulfonate;glyoxal sodium bisulfite monohydrate;glyoxale bis hydrogen sulfite disodium salt",https://chemicals.logicwebsites.com/data-sheets/2962.pdf
20A-hydroxycholesterol,516-72-3,"20-Hydroxycholesterol;(20S)-20-Hydroxycholesterol;(20S)-Cholest-5-ene-3beta,20-diol;20S-Cholest-5-ene-3beta,20-diol;20alpha-Hydroxycholesterol;Cholest-5-ene-3beta,20alpha-diol;Cholest-5-ene-3,20-diol, (3beta)-;Cholest-5-ene-3beta,20-diol, (20S)-;(3beta)-cholest-5-ene-3,20-diol;(3beta,20R)-cholest-5-ene-3,20-diol",https://chemicals.logicwebsites.com/data-sheets/2958.pdf
5A-pregnan-3B-ol-20-one,516-55-2,"3-beta-hydroxy-5-alpha-pregnan-20-one;(3beta,5alpha)-3-hydroxypregnan-20-one;(3β,5β,9β,14β)-3-hydroxypregnan-20-one;3β-hydroxy-5α-pregnan-20-one",https://chemicals.logicwebsites.com/data-sheets/2957.pdf
"(3alpha,5alpha)-3-hydroxypregnan-20-one",516-54-1,Brexanolone,https://chemicals.logicwebsites.com/data-sheets/2956.pdf
N-Iodosuccinimide,516-12-1,"1-Iodo-2,5-Pyrrolidinedione;NIS;1-iodo-5-pyrrolidinedione;n-iodo-succinimid;Succinimide,N-iodo-;succiniodimide;1-iodopyrrolidine-2,5-dione;Iodosuccinimide;2,5-Pyrrolidinedione, 1-iodo-",https://chemicals.logicwebsites.com/data-sheets/2955.pdf
DL-Valine,516-06-3,DL-2-Amino-3-methylbutyric acid;DL-2-Aminoisovaleric acid~(+/-)-2-Amino-3-methylbutyric acid;H-DL-Val-OH;DL-2-Aminoisovaleric acid~(+/-)-2-Amino-3-methylbutyric acid~H-DL-Val-OH,https://chemicals.logicwebsites.com/data-sheets/2954.pdf
Methylmalonic acid,516-05-2,Methylmalonicacid;Methyl (Ethoxy Methylene) Cyanoacetate;2-methylpropanedioic acid;methylpropanedioic acid;3-methoxy-3-oxopropanoic acid;methylpropanedioate,https://chemicals.logicwebsites.com/data-sheets/2953.pdf
barium oxalate,516-02-9,"Puratronic,99.999% (metals basis);Puratronic;barium ethanedioate",https://chemicals.logicwebsites.com/data-sheets/2952.pdf
"2,3-Diaminopropionic acid",515-94-6,"2,3-Diaminopropanoic acid;2-Amino-beta-alanine;3-Aminoalanine;Diaminopropionic acid;beta-Aminoalanine;Alanine, 3-amino-",https://chemicals.logicwebsites.com/data-sheets/2950.pdf
L-Threoninol,3228-51-1;515-93-5,"1,3-Butanediol,2-amino-, (2R,3R)-;1,3-Butanediol,2-amino-, D-;1,3-Butanediol, 2-amino-, [R-(R*,R*)]-;(2R,3R)-2-Amino-1,3-butanediol; L-Threoninol;1,3-Butanediol, 2-amino-, (2R,3R)-;(2R,3R)-2-Amino-1,3-butanediol;L-Threoninol;(2R,3R)-2-aminobutane-1,3-diol;(2S,3S)-2-Amino-1,3-butanediolL(+)-Threoninol",https://chemicals.logicwebsites.com/data-sheets/2949.pdf
ethyl trichloroacetate,515-84-4,"Ethyl trichloroacetate;AI3-28577;NSC 8829;Acetic acid, 2,2,2-trichloro-, ethyl ester;Acetic acid, trichloro-, ethyl ester;ethyl 2,2,2-trichloroacetate",https://chemicals.logicwebsites.com/data-sheets/2948.pdf
"2,2,2-trichloro-1-ethoxyethanol",515-83-3,"Chloral alcoholate;Chloral semiacetal;1-Ethoxy-2,2,2-trichloroethanol;2,2,2-Trichloro-1-ethoxyethanol;4-01-00-03144 (Beilstein Handbook Reference);BRN 1209355;Chloral ethylalcoholate;Chloral, ethyl hemiacetal;Chloralalkoholat;Chloralalkoholat [Czech];Ethanol chloral hemiacetal;Ethanol, 1-ethoxy-2,2,2-trichloro-;NSC 8411;Trichloroacetaldehyde monoethylacetal;Ethanol, 2,2,2-trichloro-1-ethoxy-;(1S)-2,2,2-trichloro-1-ethoxyethanol;(1R)-2,2,2-trichloro-1-ethoxyethanol",https://chemicals.logicwebsites.com/data-sheets/2947.pdf
sodium sulphanilate,515-74-2,Sulfanilic Acid Sodium Salt;Sodium Sulfanilate;(4-aminophenyl)sulfonyloxysodium;4-Amino-Benzenesulfonic Acid Monosodium Salt,https://chemicals.logicwebsites.com/data-sheets/2946.pdf
alpha-Bisabolol,515-69-5,"6-Methyl-2-(4-methyl-3-cyclohexen-1-yl)-5-hepten-2-ol; alpha,4-Dimethyl-alpha-(4-methyl-3-pentenyl)-3-cyclohexene-1-methanol;Bisabolol;(2R)-6-methyl-2-[(1R)-4-methylcyclohex-3-en-1-yl]hept-5-en-2-ol;(2R)-6-methyl-2-[(1S)-4-methylcyclohex-3-en-1-yl]hept-5-en-2-ol;(2S)-6-methyl-2-(4-methylcyclohex-3-en-1-yl)hept-5-en-2-ol",https://chemicals.logicwebsites.com/data-sheets/2945.pdf
sulfisomidine,515-64-0,"N1-(2,6-dimethylpyrimidin-4-yl)sulphanilamide;sulphasomidine;Sulfisomidine = N1-(2,6-Dimethypyridin-4-yl)sulfanilamide;4-amino-N-(2,6-dimethylpyrimidin-4-yl)benzenesulfonamide",https://chemicals.logicwebsites.com/data-sheets/2944.pdf
ethyl benzenesulphonate,515-46-8,Ethylbenzenesulfonate;Benzenesulfonic acid ethyl ester;Benzenesulfinic acid Ethyl Ester;ethyl benzenesulfonate,https://chemicals.logicwebsites.com/data-sheets/2942.pdf
Sodium Benzenesulfonate,515-42-4,Benzenesulfonic acid sodium salt;Benzene sulfonic acid sodium salt,https://chemicals.logicwebsites.com/data-sheets/2941.pdf
1-Chloro-2-methyl-2-phenylpropane,515-40-2,"Neophyl chloride;beta-Chloro-tert-butylbenzene~(2-Chloro-1,1-dimethylethyl)benzene~2,2-Dimethyl-2-phenylethyl chloride~Neophyl chloride;(1-chloro-2-methylpropan-2-yl)benzene",https://chemicals.logicwebsites.com/data-sheets/2940.pdf
DL-Atrolactic acid hemihydrate,515-30-0,alpha-Hydroxy-2-methylbenzeneacetic acid;(+/-)-2-Hydroxy-2-phenylpropionic acid hemihydrate;(+/-)-Atrolactic acid hemihydrate;(+/-)-2-Phenyllactic acid hemihydrate;2-phenyllactic acid;Atrolacticacid;Atrolactic acid;(2R)-2-hydroxy-2-phenylpropanoate;(2S)-2-hydroxy-2-phenylpropanoate;Atrolactic acid hemihydrate,https://chemicals.logicwebsites.com/data-sheets/2939.pdf
(-)-beta-Elemene,515-13-9,"Cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-,(1S-(1-alpha,2-beta,4-beta))-;Levo-beta-elemene;(1S,2S,4R)-1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)cyclohexane;beta-Elemene",https://chemicals.logicwebsites.com/data-sheets/2937.pdf
Sclareol,515-03-7,"(1R,2R,8AS)-DECAHYDRO-1-(3-HYDROXY-3-METHYL-4-PENTENYL)-2,5,5,8A-TETRAMETHYL-2-NAPHTHOL;(13r)-labd-14-ene-13-diol;(1r-(1-alpha(r*),2-beta,4a-beta,8a-alpha))-thyl;.alpha.-ethenyldecahydro-2-hydroxy-.alpha.,2,5,5,8a-pentamethyl-,[1R-[1.alpha.(R*),2.beta.,4a.beta1-Naphthalenepropanol;[1theta-[1alpha(theta),2beta,4abeta,8aalpha]]-thyl;1-(3-Hydroxy-3-methyl-4-pentenyl)-2,5,5,8a-tetramethyldecahydro-2-naphthalenol;1-Naphthalenepropanol, alpha-ethenyldecahydro-2-hydroxy-alpha,2,5,5,8a-pentamethyl-, [1R-[1alpha(R*),2beta,4abeta,8aalpha]]-;(1R,2R,8aS)-1-[(3R)-3-hydroxy-3-methylpent-4-en-1-yl]-2,5,5,8a-tetramethyldecahydronaphthalen-2-ol;(1R,2R,4aS,8aS)-1-[(3R)-3-hydroxy-3-methylpent-4-en-1-yl]-2,5,5,8a-tetramethyldecahydronaphthalen-2-ol",https://chemicals.logicwebsites.com/data-sheets/2936.pdf
(-)-Myrtenol,515-00-4,"(-)-pin-2-ene-10-ol;(6,6-dimethylbicyclo[3.1.1]hept-2-en-2-yl)methanol",https://chemicals.logicwebsites.com/data-sheets/2935.pdf
9-cis-retinal,514-85-2,"9-cis-Retinal;4-07-00-01254 (Beilstein Handbook Reference);9-C-Retinal;9-cis-3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraenal;9-cis-Retinaldehyde;9-cis-Vitamin A aldehyde;BRN 1914180;Isoretinene A;Retinal, 9-cis-",https://chemicals.logicwebsites.com/data-sheets/2934.pdf
biperiden,514-65-8,"1-phenyl-3-piperidino-1-(8,9,10-trinorborn-5-en-2-yl)propan-1-ol;1-(bicyclo[2.2.1]hept-5-en-2-yl)-1-phenyl-3-(piperidin-1-yl)propan-1-ol;1-bicyclo[2.2.1]hept-2-en-1-yl-1-phenyl-3-piperidin-1-ylpropan-1-ol",https://chemicals.logicwebsites.com/data-sheets/2932.pdf
fludrocortisone acetate,514-36-3,"Fludrocortisone acetate [JAN];Fludrocortisone 21-acetate;9-Fluoro-11-beta,17,21-trihydroxypregn-4-ene-3,20-dione 21-acetate;9-Fluoro-11beta,17,21-trihydroxypregn-4-ene-3,20-dione 21-acetate;9-alpha-Fluorohydrocortisone acetate;9-alpha-Fluorohydrocortisone-21-acetate;9alpha-Fluorohydrocortisone 21-acetate;9alpha-Fluorohydrocortisone acetate;Alflorone acetate;BRN 2067486;Cortef-F;Corticosterone, 9-fluoro-17-hydroxy-, 21-acetate;Cortineff;Cortisol, 9-fluoro-, 21-acetate;F-Cortef acetate;Florinef;Florinef acetate;Fludrocortisone acetate;Fluohydrocortisone acetate;Fluorocortisone acetate;NSC 15186;Scherofluron;U 4845;UNII-V47IF0PVH4;Pregn-4-ene-3,20-dione, 21-(acetyloxy)-9-fluoro-11,17-dihydroxy-, (11beta)-;Pregn-4-ene-3,20-dione, 9-fluoro-11-beta,17,21-trihydroxy-, 21-acetate;Pregn-4-ene-3,20-dione, 9-fluoro-11beta,17,21-trihydroxy-, 21-acetate (8CI);(8xi,10xi,13xi,14xi,17xi)-9-fluoro-11,17-dihydroxy-3,20-dioxopregn-4-en-21-yl acetate;(11beta)-9-fluoro-11,17-dihydroxy-3,20-dioxopregn-4-en-21-yl acetate",https://chemicals.logicwebsites.com/data-sheets/2928.pdf
Abietic acid,514-10-3,"abietic acid, technical;abieta-7,13-dien-18-oic acid;(5xi,9xi)-abieta-7,13-dien-18-oic acid;(5beta,9beta)-abieta-7,13-dien-19-oate;abieta-7,13-dien-19-oate;(5beta)-abieta-7,13-dien-19-oate;(9beta)-abieta-7,13-dien-19-oate",https://chemicals.logicwebsites.com/data-sheets/2927.pdf
"1,1-Dichloroacetone",513-88-2,"1,1-Dichloro-2-propanone;1,1-Dichloropropanone;AI3-52312;BRN 1740214;CCRIS 1941;Dichloromethyl methyl ketone;Dichloropropanone;HSDB 7624;NSC 42725;alpha,alpha-Dichloroacetone;2-Propanone, 1,1-dichloro-;1,1-dichloropropan-2-one",https://chemicals.logicwebsites.com/data-sheets/2926.pdf
Acetyl methyl carbinol,513-86-0,"3-Hydroxy-2-butanone;acetoin, mixture of monomer and dimer;Acetoin (3-Hydroxy-2-butanone);1-acetylethanol;Acetoin;3-hydroxybutan-2-one;(3R)-3-hydroxybutan-2-one;(3S)-3-hydroxybutan-2-one;Acetoion;Acetion",https://chemicals.logicwebsites.com/data-sheets/2925.pdf
"butane-2,3-diol",513-85-9;123513-85-9,"2,3-Butanediol;2,3-Dihydroxybutane;2,3-Butanediol, mixture of DL and meso;2,3-butylene glycol;(2R,3S)-butane-2,3-diol",https://chemicals.logicwebsites.com/data-sheets/2924.pdf
Cobalt(II) carbonate hydrate,513-79-1;57454-67-8,C.I. 77353;Cobaltous carbonate;Cobaltcarbonatetechgr;Cobalt(II)carbonate;Cobalt Carbonate,https://chemicals.logicwebsites.com/data-sheets/2923.pdf
Cadmium carbonate,513-78-0,"CADMIUM CARBONATE, 99.995%;Carbonic acid, cadmium salt (1:1)",https://chemicals.logicwebsites.com/data-sheets/2922.pdf
Barium carbonate,513-77-9,"C.I. 77099;C.I. Pigment White 10;barium carbonate, natural;barium carbonate, other than natural;Barium Carbonate (Powder);Barium Carbonate (Low Sulphur);BariumcarbonateCaSrmeshwhitepowder;Bariumcarbonatewhitepowder;Barium carbonate,( 99.9%-Ba;Barium carbonate 99+ %;Barium Carbonate (free flowing);Barium carbonate,high purity",https://chemicals.logicwebsites.com/data-sheets/2921.pdf
ammonium dithiocarbamate,513-74-6,"Ammonium dithiocarbamate;Ammonium sulfocarbamate;Carbamic acid, dithio-, monoammonium salt;Carbamodithioic acid, monoammonium salt;Dithiocarbamic acid monoammonium salt;HSDB 5675;NSC 202959;Carbamic acid, dithio-, monoammonium salt (8CI);Carbamodithioic acid, ammonium salt (1:1);hydrazinecarbodithioic acid;carbamodithioic acid;carbamodithioic acid ammoniate",https://chemicals.logicwebsites.com/data-sheets/2920.pdf
2-butanethiol,513-53-1,1-methyl-1-propanethiol;sec-Butyl mercaptan;butane-2-thiol;(2R)-butane-2-thiol;2-Butyl mercaptan,https://chemicals.logicwebsites.com/data-sheets/2919.pdf
(S)-(+)-2-Aminobutane,513-49-5,(S)-(+)-sec-Butylamine,https://chemicals.logicwebsites.com/data-sheets/2918.pdf
2-Iodobutane,513-48-4,S-BUTYL IODIDE;SEC-BUTYL IODIDE;2-Butyl Iodide;2-Butyliodide;2-Iodbutan;2-iodo-butan;2-Jodbutan,https://chemicals.logicwebsites.com/data-sheets/2917.pdf
2-methyl-1-propanethiol,513-44-0,isobutyl Mercaptan;2-methylpropane-1-thiol;Isobutylmercaptan;Isobutanethiol,https://chemicals.logicwebsites.com/data-sheets/2916.pdf
2-Methyl-2-propen-1-ol,513-42-8,beta-Methallyl alcohol;Methallyl alcohol;Isopropenyl carbinol;2-Methylallyl alcohol;3-Hydroxy-2-methylpropene;2-methylprop-2-en-1-ol;MAOH;beta-methylallylalcohol;methacrylalcohol;Isobutenol;2-Methyl-2-propen-1-ol,https://chemicals.logicwebsites.com/data-sheets/2915.pdf
1-iodo-2-methylpropane,513-38-2,"propane, 1-iodo-2-methyl-;Isobutyl Iodide",https://chemicals.logicwebsites.com/data-sheets/2914.pdf
1-chloro-2-methylpropene,513-37-1,"Chloromethylpropene;1-Chloro-2-methyl-1-propene;1-chloro-2-methylprop-1-ene;Isobutenyl chloride;1-chloro-2-methyl-1-butene; isobutylene chloride;isobutylene chloride; chloroisobutylene; 2,2-dimethylchloroethylene;",https://chemicals.logicwebsites.com/data-sheets/2913.pdf
1-Chloro-2-methylpropane,513-36-0,Isobutyl chloride;1-chloro-2-methyl propane;1-Chloro-iso-butane;Isobutylchloride,https://chemicals.logicwebsites.com/data-sheets/2912.pdf
2-Methyl-2-butene,513-35-9,beta-Isoamylene;2-METHYLBUTENE-2;Perfluorokerosene-L,https://chemicals.logicwebsites.com/data-sheets/2911.pdf
"2,3-Dibromopropene",513-31-5,"2,3-Dibromo-1-propene;2,3-dibromoprop-1-ene",https://chemicals.logicwebsites.com/data-sheets/2910.pdf
Ethyl 2-hydroxyethyl sulfone,513-12-2,Ethyl 2-hydroxyethyl sulphone~2-(Ethylsulphonyl)ethanol;2-(Ethylsulfonyl)-ethanol;2-(Ethanesulphonyl)ethanol;Ethylsulphonylethanol,https://chemicals.logicwebsites.com/data-sheets/2909.pdf
Echothiophate Iodide,513-10-0,"2-(diethoxyphosphinylthio)ethyltrimethylammonium iodide;2-[(diethoxyphosphoryl)sulfanyl]-N,N,N-trimethylethanaminium iodide",https://chemicals.logicwebsites.com/data-sheets/2908.pdf
tripropyl phosphate,513-08-6,,https://chemicals.logicwebsites.com/data-sheets/2907.pdf
Hexaphenylcyclotrisiloxane,512-63-0,"Cyclotrisiloxane, 2,2,4,4,6,6-hexaphenyl-;Diphenylsiloxane cyclic trimer;NSC 127080;Cyclotrisiloxane, hexaphenyl-;2,2,4,4,6,6-hexaphenyl-1,3,5,2,4,6-trioxatrisilinane",https://chemicals.logicwebsites.com/data-sheets/2906.pdf
Trimethyl phosphate,512-56-1,Phosphoric acid trimethyl ester;TMP,https://chemicals.logicwebsites.com/data-sheets/2905.pdf
"ethyl 1,1,2,2-tetrafluoroethyl ether",512-51-6,"Ethane, 1-ethoxy-1,1,2,2-tetrafluoro-;1-Ethoxy-1,1,2,2-tetrafluoroethane;374pcE-beta-gamma;Ether, ethyl 1,1,2,2-tetrafluoroethyl;2-chloro-1-(2,4-difluorophenyl)ethanone;HFE-374",https://chemicals.logicwebsites.com/data-sheets/2904.pdf
Benzenesulfonicanhydride,512-35-6,Benzenesulfonic anhydride;benzenesulfonyl benzenesulfonate,https://chemicals.logicwebsites.com/data-sheets/2903.pdf
"3,5,5-Trimethylhexanoic acid",512-34-5;3302-10-1,"hexanoic acid, 3,5,5-trimethyl-;(3R)-3,5,5-trimethylhexanoate;(3S)-3,5,5-trimethylhexanoate;tert-Nonanoic acid;TMHA;Isononanoic acid;Isopelargonic acid",https://chemicals.logicwebsites.com/data-sheets/2902.pdf
cyclopentolate,512-15-2,2-dimethylaminoethyl 2-(1-hydroxycyclopentyl)-2-phenylacetate;Cyclopentoiate;2-(dimethylamino)ethyl (1-hydroxycyclopentyl)(phenyl)acetate,https://chemicals.logicwebsites.com/data-sheets/2900.pdf
yamogenin,512-06-1,"Spirost-5-en-3-ol, (3beta,25S)-;NSC 226132;(3beta,25S)-spirost-5-en-3-ol;(20Α,22R,25S)-Spirosta-5-Ene-3Β-Ol",https://chemicals.logicwebsites.com/data-sheets/2899.pdf
diosgenin,512-04-9,"(20R,25R)-spirost-5-en-3-beta-ol;Nitogenin;(8xi,9xi,10xi,13xi,14xi,16xi,17xi,25R)-spirost-5-en-3-ol;(3beta,25R)-spirost-5-en-3-ol;spirost-5-en-3-ol;(3beta,8xi,9xi,14xi,16xi,17xi,25R)-spirost-5-en-3-ol;Wild Yam Extract",https://chemicals.logicwebsites.com/data-sheets/2898.pdf
